,price
35,151241.0
19,149892.0
31,118543.0
42,104515.0
25,102184.0
27,102043.0
32,81007.0
28,80490.0
34,79692.0
59,79462.0
40,79416.0
33,79242.0
20,77754.0
43,76748.0
24,75285.0
22,72195.0
23,66789.0
46,64285.0
29,64027.0
38,62327.0
69,62081.0
54,61769.0
56,61693.0
37,61592.0
30,59239.0
21,58718.0
101,58648.0
50,57626.0
53,56793.0
47,52334.0
91,52143.0
36,52105.0
66,51066.0
48,50007.0
68,48614.0
105,47886.0
72,47776.0
41,47390.0
74,47180.0
49,46567.0
71,46148.0
73,46016.0
52,45861.0
139,45493.0
44,45483.0
39,45318.0
51,44095.0
92,43509.0
116,42979.0
85,42641.0
58,42584.0
97,42505.0
79,42240.0
62,41493.0
108,41246.0
78,40915.0
112,39962.0
167,39319.0
77,39223.0
128,38762.0
140,38729.0
130,38693.0
215,38671.0
45,38579.0
64,37544.0
26,37231.0
98,37038.0
122,36601.0
87,36011.0
132,35359.0
106,35321.0
60,35244.0
146,35028.0
135,34893.0
57,34766.0
136,34582.0
113,34379.0
126,33693.0
171,32905.0
124,32875.0
196,32482.0
110,32366.0
127,32202.0
103,31829.0
163,31173.0
239,31055.0
55,31048.0
117,30679.0
221,30351.0
147,29798.0
80,29795.0
191,29757.0
70,29756.0
95,29673.0
157,29392.0
129,29340.0
258,28985.0
99,28699.0
94,28652.0
118,28254.0
61,27895.0
131,27884.0
96,27843.0
188,27750.0
83,27424.0
121,27366.0
399,27340.0
107,27261.0
348,27149.0
156,27030.0
250,27003.0
176,26998.0
259,26962.0
169,26759.0
102,26722.0
197,26706.0
67,26692.0
227,26512.0
109,26392.0
143,26381.0
220,26319.0
182,26288.0
100,26224.0
137,26189.0
141,25799.0
134,25786.0
170,25754.0
84,25702.0
119,25523.0
161,25470.0
247,25359.0
154,25178.0
281,25100.0
89,24896.0
159,24698.0
86,24665.0
123,24638.0
178,24636.0
218,24565.0
111,24563.0
409,24353.0
75,24318.0
114,24289.0
200,24263.0
152,24241.0
104,24192.0
153,24054.0
160,23900.0
195,23855.0
216,23815.0
183,23689.0
177,23598.0
148,23474.0
194,23423.0
206,23390.0
212,23193.0
63,23128.0
93,23125.0
76,23061.0
232,23005.0
255,22944.0
189,22926.0
246,22824.0
142,22717.0
81,22678.0
125,22673.0
204,22577.0
65,22404.0
187,22381.0
133,22335.0
240,22294.0
312,22167.0
213,22016.0
138,22013.0
164,21795.0
120,21721.0
175,21560.0
82,21491.0
144,21451.0
226,21366.0
192,21169.0
334,21132.0
217,21038.0
238,20916.0
280,20688.0
241,20670.0
229,20542.0
151,20463.0
173,20356.0
285,20299.0
236,20266.0
277,20218.410000000003
193,20115.0
155,20074.0
168,20036.0
186,20027.0
231,19855.0
268,19827.0
337,19748.0
219,19739.0
223,19669.0
351,19548.0
203,19435.0
172,19409.0
317,19256.0
309,19083.0
179,19068.0
174,19012.0
115,19011.0
90,18936.0
363,18822.0
209,18647.0
88,18639.0
441,18587.0
149,18465.0
325,18390.0
304,18386.0
289,18322.0
465,18175.0
375,18132.0
165,18062.0
180,18043.0
279,18027.0
528,17946.0
297,17926.0
205,17884.0
354,17846.0
274,17759.0
299,17697.0
228,17663.0
266,17641.0
412,17510.0
264,17450.0
369,17384.0
469,17384.0
367,17333.0
222,17301.0
249,17175.0
166,17172.0
198,17148.0
379,16967.0
270,16963.0
253,16956.0
290,16952.0
373,16934.0
390,16748.0
326,16640.0
262,16549.0
271,16526.0
207,16518.0
145,16444.0
310,16219.0
315,16208.0
278,16159.0
410,16082.0
260,16082.0
201,16032.0
350,15952.0
211,15947.0
273,15900.0
