,count_feedbacks
0,2200
1,1479
2,1380
3,1181
4,1160
5,944
6,942
7,704
8,683
9,682
10,680
11,626
12,618
13,602
14,581
15,557
16,520
17,505
18,486
19,482
20,467
21,463
22,445
23,400
24,400
25,385
26,381
27,369
28,359
29,356
30,354
31,354
32,353
33,351
34,347
35,341
36,337
37,335
38,334
39,333
40,332
41,330
42,329
43,323
44,318
45,311
46,309
47,306
48,305
49,301
50,300
51,298
52,296
53,286
54,279
55,278
56,277
57,275
58,268
59,267
60,263
61,263
62,261
63,260
64,259
65,258
66,257
67,255
68,254
69,251
70,241
71,240
72,238
73,236
74,234
75,232
76,231
77,230
78,230
79,230
80,229
81,227
82,226
83,225
84,220
85,220
86,220
87,217
88,216
89,213
90,212
91,211
92,210
93,209
94,208
95,208
96,207
97,206
98,205
99,205
100,202
101,200
102,200
103,197
104,197
105,196
106,195
107,194
108,193
109,192
110,190
111,190
112,188
113,187
114,187
115,187
116,186
117,186
118,185
119,185
120,185
121,182
122,182
123,181
124,180
125,180
126,179
127,178
128,178
129,177
130,176
131,176
132,174
133,174
134,174
135,174
136,172
137,172
138,172
139,172
140,172
141,171
142,171
143,171
144,170
145,169
146,169
147,169
148,168
149,167
150,167
151,165
152,165
153,164
154,164
155,164
156,163
157,162
158,161
159,161
160,159
161,156
162,156
163,155
164,154
165,154
166,153
167,152
168,151
169,151
170,151
171,151
172,150
173,149
174,149
175,148
176,147
177,147
178,147
179,147
180,147
181,147
182,146
183,145
184,144
185,144
186,143
187,143
188,143
189,141
190,141
191,139
192,139
193,138
194,138
195,138
196,138
197,138
198,138
199,138
200,137
201,136
202,136
203,135
204,135
205,135
206,135
207,135
208,134
209,133
210,133
211,133
212,133
213,133
214,133
215,132
216,132
217,132
218,132
219,131
220,131
221,131
222,131
223,131
224,130
225,130
226,130
227,129
228,129
229,129
230,129
231,128
232,128
233,128
234,128
235,127
236,127
237,126
238,126
239,126
240,125
241,124
242,124
243,124
244,124
245,124
246,123
247,123
248,123
249,122
250,122
251,121
252,121
253,120
254,120
255,120
256,120
257,120
258,120
259,120
260,119
261,119
262,119
263,119
264,118
265,118
266,118
267,118
268,117
269,117
270,117
271,116
272,116
273,115
274,115
275,115
276,114
277,114
278,114
279,113
280,113
281,113
282,113
283,112
284,112
285,112
286,111
287,111
288,111
289,111
290,111
291,110
292,110
293,110
294,110
295,110
296,109
297,109
298,109
299,108
300,108
301,108
302,108
303,108
304,108
305,108
306,108
307,108
308,108
309,108
310,107
311,107
312,107
313,107
314,107
315,106
316,106
317,106
318,106
319,106
320,106
321,105
322,105
323,105
324,105
325,104
326,104
327,104
328,104
329,104
330,104
331,104
332,103
333,103
334,103
335,103
336,103
337,103
338,103
339,103
340,102
341,102
342,101
343,101
344,101
345,101
346,101
347,101
348,100
349,100
350,100
351,100
352,100
353,100
354,99
355,99
356,99
357,99
358,98
359,98
360,98
361,98
362,98
363,97
364,97
365,97
366,97
367,97
368,96
369,96
370,96
371,96
372,96
373,95
374,95
375,95
376,95
377,95
378,94
379,94
380,94
381,94
382,94
383,93
384,93
385,93
386,93
387,93
388,93
389,93
390,92
391,92
392,92
393,92
394,92
395,92
396,92
397,92
398,92
399,92
400,92
401,92
402,92
403,91
404,91
405,91
406,91
407,91
408,91
409,91
410,91
411,91
412,91
413,91
414,90
415,90
416,90
417,90
418,90
419,90
420,89
421,89
422,89
423,89
424,89
425,88
426,88
427,88
428,88
429,88
430,88
431,88
432,88
433,88
434,88
435,88
436,87
437,87
438,87
439,87
440,87
441,86
442,86
443,86
444,86
445,86
446,86
447,86
448,86
449,85
450,85
451,85
452,85
453,85
454,85
455,85
456,85
457,85
458,85
459,85
460,84
461,84
462,84
463,84
464,83
465,83
466,83
467,83
468,83
469,83
470,83
471,82
472,82
473,82
474,82
475,82
476,82
477,82
478,82
479,82
480,82
481,82
482,82
483,82
484,81
485,81
486,81
487,81
488,81
489,81
490,81
491,81
492,80
493,80
494,80
495,80
496,79
497,79
498,79
499,79
500,79
501,79
502,79
503,79
504,79
505,78
506,78
507,78
508,78
509,78
510,78
511,78
512,78
513,78
514,78
515,78
516,78
517,77
518,77
519,77
520,77
521,77
522,77
523,77
524,77
525,76
526,76
527,76
528,76
529,76
530,76
531,75
532,75
533,75
534,75
535,75
536,75
537,75
538,75
539,75
540,74
541,74
542,74
543,74
544,74
545,74
546,74
547,74
548,74
549,74
550,74
551,73
552,73
553,73
554,73
555,73
556,73
557,73
558,73
559,73
560,73
561,73
562,73
563,73
564,73
565,72
566,72
567,72
568,72
569,72
570,72
571,72
572,72
573,72
574,72
575,72
576,72
577,72
578,72
579,72
580,72
581,72
582,72
583,71
584,71
585,71
586,71
587,71
588,71
589,71
590,71
591,71
592,71
593,71
594,71
595,71
596,71
597,71
598,71
599,71
600,70
601,70
602,70
603,70
604,70
605,70
606,70
607,70
608,70
609,70
610,70
611,70
612,69
613,69
614,69
615,69
616,69
617,69
618,69
619,69
620,69
621,69
622,69
623,69
624,69
625,69
626,68
627,68
628,68
629,68
630,68
631,68
632,68
633,68
634,68
635,68
636,68
637,68
638,68
639,68
640,68
641,68
642,68
643,68
644,68
645,67
646,67
647,67
648,67
649,67
650,67
651,67
652,67
653,67
654,67
655,67
656,67
657,67
658,67
659,67
660,67
661,67
662,66
663,66
664,66
665,66
666,66
667,66
668,66
669,66
670,66
671,66
672,66
673,66
674,66
675,66
676,66
677,66
678,66
679,65
680,65
681,65
682,65
683,65
684,65
685,65
686,65
687,65
688,65
689,64
690,64
691,64
692,64
693,64
694,64
695,64
696,64
697,64
698,64
699,64
700,64
701,64
702,64
703,63
704,63
705,63
706,63
707,63
708,63
709,63
710,63
711,63
712,63
713,63
714,63
715,63
716,63
717,63
718,62
719,62
720,62
721,62
722,62
723,62
724,62
725,62
726,62
727,62
728,62
729,62
730,62
731,62
732,62
733,62
734,62
735,62
736,61
737,61
738,61
739,61
740,61
741,61
742,61
743,61
744,61
745,61
746,61
747,61
748,61
749,61
750,61
751,61
752,61
753,60
754,60
755,60
756,60
757,60
758,60
759,60
760,60
761,60
762,60
763,60
764,60
765,60
766,60
767,60
768,60
769,60
770,60
771,60
772,60
773,60
774,59
775,59
776,59
777,59
778,59
779,59
780,59
781,59
782,59
783,59
784,59
785,59
786,59
787,59
788,59
789,59
790,59
791,59
792,59
793,58
794,58
795,58
796,58
797,58
798,58
799,58
800,58
801,58
802,58
803,58
804,58
805,58
806,58
807,58
808,58
809,58
810,58
811,58
812,58
813,58
814,58
815,58
816,58
817,58
818,57
819,57
820,57
821,57
822,57
823,57
824,57
825,57
826,57
827,57
828,57
829,57
830,57
831,57
832,57
833,57
834,57
835,57
836,57
837,57
838,57
839,57
840,57
841,57
842,57
843,56
844,56
845,56
846,56
847,56
848,56
849,56
850,56
851,56
852,56
853,56
854,56
855,55
856,55
857,55
858,55
859,55
860,55
861,55
862,55
863,55
864,55
865,55
866,55
867,55
868,55
869,55
870,55
871,55
872,55
873,55
874,55
875,55
876,54
877,54
878,54
879,54
880,54
881,54
882,54
883,54
884,54
885,54
886,54
887,54
888,54
889,54
890,54
891,54
892,54
893,54
894,54
895,54
896,54
897,54
898,54
899,54
900,54
901,53
902,53
903,53
904,53
905,53
906,53
907,53
908,53
909,53
910,53
911,53
912,53
913,53
914,53
915,53
916,53
917,53
918,53
919,52
920,52
921,52
922,52
923,52
924,52
925,52
926,52
927,52
928,52
929,52
930,52
931,52
932,52
933,52
934,52
935,52
936,52
937,52
938,52
939,52
940,51
941,51
942,51
943,51
944,51
945,51
946,51
947,51
948,51
949,51
950,51
951,51
952,51
953,51
954,51
955,51
956,51
957,51
958,51
959,51
960,51
961,51
962,51
963,51
964,51
965,51
966,51
967,51
968,51
969,51
970,51
971,50
972,50
973,50
974,50
975,50
976,50
977,50
978,50
979,50
980,50
981,50
982,50
983,50
984,50
985,50
986,50
987,50
988,50
989,50
990,50
991,50
992,50
993,49
994,49
995,49
996,49
997,49
998,49
999,49
1000,49
1001,49
1002,49
1003,49
1004,49
1005,49
1006,49
1007,49
1008,49
1009,49
1010,49
1011,49
1012,49
1013,49
1014,49
1015,49
1016,49
1017,49
1018,48
1019,48
1020,48
1021,48
1022,48
1023,48
1024,48
1025,48
1026,48
1027,48
1028,48
1029,48
1030,48
1031,48
1032,48
1033,48
1034,48
1035,48
1036,48
1037,48
1038,48
1039,48
1040,48
1041,48
1042,48
1043,48
1044,48
1045,48
1046,48
1047,48
1048,48
1049,47
1050,47
1051,47
1052,47
1053,47
1054,47
1055,47
1056,47
1057,47
1058,47
1059,47
1060,47
1061,47
1062,47
1063,47
1064,47
1065,47
1066,47
1067,47
1068,47
1069,47
1070,47
1071,47
1072,47
1073,47
1074,47
1075,47
1076,46
1077,46
1078,46
1079,46
1080,46
1081,46
1082,46
1083,46
1084,46
1085,46
1086,46
1087,46
1088,46
1089,46
1090,46
1091,46
1092,46
1093,46
1094,46
1095,46
1096,46
1097,46
1098,46
1099,46
1100,45
1101,45
1102,45
1103,45
1104,45
1105,45
1106,45
1107,45
1108,45
1109,45
1110,45
1111,45
1112,45
1113,45
1114,45
1115,45
1116,45
1117,45
1118,45
1119,45
1120,45
1121,45
1122,44
1123,44
1124,44
1125,44
1126,44
1127,44
1128,44
1129,44
1130,44
1131,44
1132,44
1133,44
1134,44
1135,44
1136,44
1137,44
1138,44
1139,44
1140,44
1141,44
1142,44
1143,44
1144,44
1145,44
1146,44
1147,44
1148,44
1149,44
1150,44
1151,44
1152,44
1153,44
1154,44
1155,44
1156,44
1157,44
1158,44
1159,43
1160,43
1161,43
1162,43
1163,43
1164,43
1165,43
1166,43
1167,43
1168,43
1169,43
1170,43
1171,43
1172,43
1173,43
1174,43
1175,43
1176,43
1177,43
1178,43
1179,43
1180,43
1181,43
1182,43
1183,43
1184,42
1185,42
1186,42
1187,42
1188,42
1189,42
1190,42
1191,42
1192,42
1193,42
1194,42
1195,42
1196,42
1197,42
1198,42
1199,42
1200,42
1201,42
1202,42
1203,42
1204,42
1205,42
1206,42
1207,42
1208,42
1209,42
1210,42
1211,42
1212,42
1213,42
1214,42
1215,42
1216,42
1217,42
1218,42
1219,42
1220,41
1221,41
1222,41
1223,41
1224,41
1225,41
1226,41
1227,41
1228,41
1229,41
1230,41
1231,41
1232,41
1233,41
1234,41
1235,41
1236,41
1237,41
1238,41
1239,41
1240,41
1241,41
1242,41
1243,41
1244,41
1245,41
1246,41
1247,41
1248,41
1249,41
1250,41
1251,41
1252,41
1253,41
1254,41
1255,41
1256,41
1257,40
1258,40
1259,40
1260,40
1261,40
1262,40
1263,40
1264,40
1265,40
1266,40
1267,40
1268,40
1269,40
1270,40
1271,40
1272,40
1273,40
1274,40
1275,40
1276,40
1277,40
1278,40
1279,40
1280,40
1281,40
1282,40
1283,40
1284,40
1285,40
1286,40
1287,40
1288,40
1289,40
1290,40
1291,40
1292,40
1293,40
1294,39
1295,39
1296,39
1297,39
1298,39
1299,39
1300,39
1301,39
1302,39
1303,39
1304,39
1305,39
1306,39
1307,39
1308,39
1309,39
1310,39
1311,39
1312,39
1313,39
1314,39
1315,39
1316,39
1317,39
1318,39
1319,39
1320,39
1321,39
1322,39
1323,39
1324,39
1325,39
1326,39
1327,39
1328,39
1329,39
1330,39
1331,39
1332,39
1333,39
1334,39
1335,39
1336,39
1337,39
1338,39
1339,39
1340,39
1341,39
1342,39
1343,39
1344,39
1345,39
1346,39
1347,39
1348,39
1349,39
1350,39
1351,39
1352,39
1353,39
1354,39
1355,39
1356,38
1357,38
1358,38
1359,38
1360,38
1361,38
1362,38
1363,38
1364,38
1365,38
1366,38
1367,38
1368,38
1369,38
1370,38
1371,38
1372,38
1373,38
1374,38
1375,38
1376,38
1377,38
1378,38
1379,38
1380,38
1381,38
1382,38
1383,38
1384,38
1385,38
1386,38
1387,38
1388,38
1389,38
1390,38
1391,38
1392,38
1393,38
1394,38
1395,38
1396,38
1397,37
1398,37
1399,37
1400,37
1401,37
1402,37
1403,37
1404,37
1405,37
1406,37
1407,37
1408,37
1409,37
1410,37
1411,37
1412,37
1413,37
1414,37
1415,37
1416,37
1417,37
1418,37
1419,37
1420,37
1421,37
1422,37
1423,37
1424,37
1425,37
1426,37
1427,37
1428,37
1429,37
1430,37
1431,37
1432,37
1433,37
1434,36
1435,36
1436,36
1437,36
1438,36
1439,36
1440,36
1441,36
1442,36
1443,36
1444,36
1445,36
1446,36
1447,36
1448,36
1449,36
1450,36
1451,36
1452,36
1453,36
1454,36
1455,36
1456,36
1457,36
1458,36
1459,36
1460,36
1461,36
1462,36
1463,36
1464,36
1465,36
1466,36
1467,36
1468,36
1469,36
1470,36
1471,36
1472,36
1473,36
1474,36
1475,36
1476,36
1477,36
1478,36
1479,36
1480,36
1481,36
1482,36
1483,36
1484,35
1485,35
1486,35
1487,35
1488,35
1489,35
1490,35
1491,35
1492,35
1493,35
1494,35
1495,35
1496,35
1497,35
1498,35
1499,35
1500,35
1501,35
1502,35
1503,35
1504,35
1505,35
1506,35
1507,35
1508,35
1509,35
1510,35
1511,35
1512,35
1513,35
1514,35
1515,35
1516,35
1517,35
1518,35
1519,35
1520,35
1521,35
1522,35
1523,35
1524,35
1525,35
1526,35
1527,35
1528,35
1529,35
1530,35
1531,35
1532,35
1533,35
1534,35
1535,35
1536,35
1537,35
1538,34
1539,34
1540,34
1541,34
1542,34
1543,34
1544,34
1545,34
1546,34
1547,34
1548,34
1549,34
1550,34
1551,34
1552,34
1553,34
1554,34
1555,34
1556,34
1557,34
1558,34
1559,34
1560,34
1561,34
1562,34
1563,34
1564,34
1565,34
1566,34
1567,34
1568,34
1569,34
1570,34
1571,34
1572,34
1573,34
1574,34
1575,34
1576,34
1577,34
1578,34
1579,34
1580,34
1581,34
1582,34
1583,34
1584,34
1585,33
1586,33
1587,33
1588,33
1589,33
1590,33
1591,33
1592,33
1593,33
1594,33
1595,33
1596,33
1597,33
1598,33
1599,33
1600,33
1601,33
1602,33
1603,33
1604,33
1605,33
1606,33
1607,33
1608,33
1609,33
1610,33
1611,33
1612,33
1613,33
1614,33
1615,33
1616,33
1617,33
1618,33
1619,33
1620,33
1621,33
1622,33
1623,33
1624,33
1625,33
1626,33
1627,33
1628,33
1629,33
1630,33
1631,33
1632,33
1633,32
1634,32
1635,32
1636,32
1637,32
1638,32
1639,32
1640,32
1641,32
1642,32
1643,32
1644,32
1645,32
1646,32
1647,32
1648,32
1649,32
1650,32
1651,32
1652,32
1653,32
1654,32
1655,32
1656,32
1657,32
1658,32
1659,32
1660,32
1661,32
1662,32
1663,32
1664,32
1665,32
1666,32
1667,32
1668,32
1669,32
1670,32
1671,32
1672,32
1673,32
1674,32
1675,32
1676,32
1677,32
1678,32
1679,32
1680,32
1681,32
1682,32
1683,32
1684,32
1685,32
1686,32
1687,32
1688,32
1689,32
1690,32
1691,32
1692,32
1693,32
1694,32
1695,32
1696,32
1697,32
1698,32
1699,32
1700,32
1701,32
1702,31
1703,31
1704,31
1705,31
1706,31
1707,31
1708,31
1709,31
1710,31
1711,31
1712,31
1713,31
1714,31
1715,31
1716,31
1717,31
1718,31
1719,31
1720,31
1721,31
1722,31
1723,31
1724,31
1725,31
1726,31
1727,31
1728,31
1729,31
1730,31
1731,31
1732,31
1733,31
1734,31
1735,31
1736,31
1737,31
1738,31
1739,31
1740,31
1741,31
1742,31
1743,31
1744,31
1745,31
1746,31
1747,31
1748,31
1749,31
1750,31
1751,31
1752,31
1753,31
1754,31
1755,31
1756,31
1757,31
1758,30
1759,30
1760,30
1761,30
1762,30
1763,30
1764,30
1765,30
1766,30
1767,30
1768,30
1769,30
1770,30
1771,30
1772,30
1773,30
1774,30
1775,30
1776,30
1777,30
1778,30
1779,30
1780,30
1781,30
1782,30
1783,30
1784,30
1785,30
1786,30
1787,30
1788,30
1789,30
1790,30
1791,30
1792,30
1793,30
1794,30
1795,30
1796,30
1797,30
1798,30
1799,30
1800,30
1801,30
1802,30
1803,30
1804,30
1805,30
1806,30
1807,30
1808,30
1809,30
1810,30
1811,30
1812,30
1813,30
1814,30
1815,29
1816,29
1817,29
1818,29
1819,29
1820,29
1821,29
1822,29
1823,29
1824,29
1825,29
1826,29
1827,29
1828,29
1829,29
1830,29
1831,29
1832,29
1833,29
1834,29
1835,29
1836,29
1837,29
1838,29
1839,29
1840,29
1841,29
1842,29
1843,29
1844,29
1845,29
1846,29
1847,29
1848,29
1849,29
1850,29
1851,29
1852,29
1853,29
1854,29
1855,29
1856,29
1857,29
1858,29
1859,29
1860,29
1861,29
1862,29
1863,29
1864,29
1865,29
1866,29
1867,29
1868,29
1869,29
1870,29
1871,29
1872,29
1873,29
1874,29
1875,29
1876,29
1877,29
1878,29
1879,29
1880,29
1881,29
1882,29
1883,29
1884,29
1885,29
1886,29
1887,29
1888,29
1889,29
1890,29
1891,29
1892,29
1893,29
1894,29
1895,28
1896,28
1897,28
1898,28
1899,28
1900,28
1901,28
1902,28
1903,28
1904,28
1905,28
1906,28
1907,28
1908,28
1909,28
1910,28
1911,28
1912,28
1913,28
1914,28
1915,28
1916,28
1917,28
1918,28
1919,28
1920,28
1921,28
1922,28
1923,28
1924,28
1925,28
1926,28
1927,28
1928,28
1929,28
1930,28
1931,28
1932,28
1933,28
1934,28
1935,28
1936,28
1937,28
1938,28
1939,28
1940,28
1941,28
1942,28
1943,28
1944,28
1945,28
1946,28
1947,28
1948,28
1949,28
1950,28
1951,28
1952,28
1953,28
1954,28
1955,28
1956,28
1957,28
1958,28
1959,28
1960,28
1961,28
1962,28
1963,28
1964,28
1965,28
1966,28
1967,28
1968,28
1969,28
1970,28
1971,28
1972,28
1973,28
1974,28
1975,28
1976,28
1977,28
1978,28
1979,28
1980,27
1981,27
1982,27
1983,27
1984,27
1985,27
1986,27
1987,27
1988,27
1989,27
1990,27
1991,27
1992,27
1993,27
1994,27
1995,27
1996,27
1997,27
1998,27
1999,27
2000,27
2001,27
2002,27
2003,27
2004,27
2005,27
2006,27
2007,27
2008,27
2009,27
2010,27
2011,27
2012,27
2013,27
2014,27
2015,27
2016,27
2017,27
2018,27
2019,27
